Price,Close,High,Low,Open,Volume
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX
Date,,,,,
1/2/2019,26.76600075,26.97500038,25.65800095,25.9279995,116795000
1/3/2019,27.12000084,27.57900047,26.44300079,27.02000046,149696000
1/4/2019,29.75699997,29.78000069,27.85400009,28.18799973,193301000
1/7/2019,31.5340004,31.68000031,30.16500092,30.20999908,186201000
1/8/2019,32.02700043,32.05899811,30.8010006,31.99799919,153592000
1/9/2019,31.99600029,32.33499908,31.35000038,31.77099991,133432000
1/10/2019,32.4659996,32.53699875,31.25,31.45700073,134725000
1/11/2019,33.75899887,34.10900116,32.85200119,33.09600067,195004000
1/14/2019,33.29399872,33.54800034,32.9129982,33.42399979,104996000
1/15/2019,35.4640007,35.72200012,34.70000076,34.95999908,211812000
1/16/2019,35.13899994,35.88499832,34.81100082,35.40000153,153855000
1/17/2019,35.31900024,35.57899857,34.64099884,34.95000076,188712000
1/18/2019,33.90999985,35.29999924,33.67300034,35.1969986,266210000
1/22/2019,32.51599884,33.68799973,32.10300064,33.48899841,179414000
1/23/2019,32.19900131,33.17499924,31.86000061,32.82500076,134801000
1/24/2019,32.66699982,33.18000031,31.89999962,32.06000137,111316000
1/25/2019,33.80500031,34,32.85100174,32.87200165,111529000
1/28/2019,33.56600189,33.63000107,32.88800049,33.47000122,86521000
1/29/2019,32.88999939,33.8219986,32.81499863,33.5870018,76552000
1/30/2019,34.06600189,34.1780014,33.08000183,33.27500153,92345000
1/31/2019,33.95000076,34.59899902,33.80899811,33.9679985,85355000
2/1/2019,33.98500061,34.68399811,33.65000153,33.7179985,98278000
2/4/2019,35.13399887,35.20000076,34.13000107,34.25999832,90514000
2/5/2019,35.58100128,36,35.29000092,35.31999969,90466000
2/6/2019,35.21900177,35.70399857,34.71900177,35.70000076,67177000
2/7/2019,34.47100067,34.875,33.90200043,34.79000092,78645000
2/8/2019,34.75699997,34.79999924,33.79999924,33.79999924,75614000
2/11/2019,34.57300186,35.28699875,34.48099899,35,54549000
2/12/2019,35.99700165,36,34.65200043,34.80899811,104294000
2/13/2019,35.17699814,35.95999908,35.02799988,35.72999954,105591000
2/14/2019,35.9070015,36.04499817,34.83300018,35.17499924,92953000
2/15/2019,35.68700027,36.43999863,35.54999924,35.84700012,92300000
2/19/2019,36.19200134,36.5,35.5320015,35.58000183,73966000
2/20/2019,35.99100113,36.67100143,35.66999817,36.48500061,81107000
2/21/2019,35.6969986,36.28499985,35.38800049,36.00299835,62279000
2/22/2019,36.30199814,36.61299896,36.00500107,36.0340004,70882000
2/25/2019,36.39099884,37.14899826,36.37900162,36.70100021,75693000
2/26/2019,36.49700165,36.56999969,35.93299866,36.29800034,49446000
2/27/2019,36.28699875,36.8030014,35.97999954,36.34999847,56299000
2/28/2019,35.81000137,36.63899994,35.77099991,36.24700165,61868000
3/1/2019,35.73199844,36.28699875,35.46900177,36.22600174,55265000
3/4/2019,35.10400009,36.22499847,34.80400085,35.97200012,74870000
3/5/2019,35.43000031,35.61700058,34.82500076,35.14599991,59378000
3/6/2019,35.96099854,35.98799896,35.16999817,35.36000061,62119000
3/7/2019,35.25999832,36.2859993,35.04999924,36.01599884,61513000
